SD,QP,BR,RS,FR
1,24,3447.1,921600,24
0,24,3447.1,921600,24
0,32,2049.08,921600,24
0,32,2049.08,921600,24
0,32,1935.43,921600,24
0,32,1935.43,921600,24
0,32,1249.74,921600,24
0,32,1249.74,921600,24
0,32,996.15,921600,24
0,32,996.15,921600,24
0,32,872.64,921600,24
0,32,872.64,921600,24
0,32,1626.39,921600,24
0,32,1626.39,921600,24
0,32,1160.26,921600,24
0,32,1160.26,921600,24
0,32,903.64,921600,24
0,32,903.64,921600,24
0,32,1079.68,921600,24
0,32,1079.68,921600,24
0,36,1015.08,921600,24
0,36,1015.08,921600,24
0,36,485.88,921600,24
0,36,485.88,921600,24
0,36,717.04,921600,24
0,36,717.04,921600,24
0,36,934.43,921600,24
0,36,934.43,921600,24
0,36,680.46,921600,24
0,36,680.46,921600,24
0,36,644.62,921600,24
0,36,644.62,921600,24
0,32,772.48,921600,24
0,32,772.48,921600,24
0,36,462.97,921600,24
0,36,462.97,921600,24
0,32,550.32,921600,24
0,32,550.32,921600,24
0,36,308.22,921600,24
0,36,308.22,921600,24
0,40,293.46,921600,24
0,40,293.46,921600,24
0,40,536.36,921600,24
0,40,536.36,921600,24
0,40,699.16,921600,24
0,40,699.16,921600,24
0,40,676.5,921600,24
0,40,676.5,921600,24
0,40,569.94,921600,24
